Name1,Name2,Similarity
amazon.com,amazon.com inc,1
amazon web services,amazon web services inc,1
apple inc.,apple,1
apple (uk) limited,apple,1
a2a,a2a s.p.a.,1
enel,enel energia spa,1
american express company,american express credit corporation,1
airbus,"airbus americas, inc.",1
"akamai technologies, inc.",akamai technologies,1
airbnb,airbnb inc,1
telecom italia spa,telecom italia sparkle spa,1
"adidas international, inc.",adidas,1
Samsung Electronics,Samsung,1
disney,"walt disney company, the",1
walt disney music company,"walt disney parks and resorts u.s., inc.",1
disney incorporated,the walt disney company limited,1
deloitte llp,deloitte digital,1
dell emc,dell technologies,1
microsoft srl,microsoft corporation,1
paypal,paypal holdings inc,1
paramount pictures international limited,paramount global,1
microsoft corporation,microsoft,1
mercedes-benz group,Mercedes-benz,1
mobile telecommunications company saudi arabia,saudi telecom company,1
"netflix global, llc","netflix worldwide entertainment, llc",1
fedex corporation,fedex express,1
google,google llc,1
Goodyear,Goodyear Tire & Rubber Company,1
nissan motor (gb) limited,nissan motor manufacturing (uk) limited,1
dolce & gabbana,dolce & gabbana holding srl,1
alibaba,alibaba group holding ltd,1
lenovo careers,lenovo group,1
mcdonald's,mcdonald's holdings company (japan) ltd,1
sony,sony group corp,1
madison square garden company,madison square garden entertainment corp.,1
banca mediolanum spa,mediolanum vita spa,1
escon elevators,omega elevators,1
ryanair,ryanair holdings plc,1
pfizer healthcare india pvt lit,pfizer india,1
"netflix worldwide entertainment, llc",netflix inc.,1
"nike usa, inc.","nike, inc.",1
nestea,nestle,1
olive,olivetti,1
prada,pradan,1
nordea bank abp,nordfyns bank ab,1
ralph lauren london limited,ralph lauren corporation,1
revolut travel ltd,revolut,1
renault,renault-nissan,1
rolex,rolex rings,1
salesforce uk limited,"salesforce, inc.",1
sony music entertainment,sony pictures entertainment inc.,0
poste italiane,reti televisive italiane spa,0
ebay inc.,ebix inc,0
google pay, google italy srl,0
fiat chrysler automobiles,fiat india automobiles,0
federal corp,the federal bank ltd,0
ferrovie dello stato italiane,ferrovial construction,0
shell italia holding spa,telecom italia spa,0
samsung electronics italia spa,telecom italia spa,0
new gold, new balance, 0
airbus,airbnb,0
"sound technologies, inc.","akamai technologies, inc.",0
aeon credit service,american express credit corporation,0
enel,eni,0
apple inc.,bad apple engineering ltd,0
amazon,amazon web services,0
amazon italia customer services srl,amazon.com inc,0
a2a energia spa,eni spa,0
dxc technology,dxp enterprises,0
warner music group corp.,"universal music group distribution, corp",0
warner music group,warner bros. distributing inc.,0
ferrari,ferrero,0
medical facilities corporation,national healthcare corp,0
national healthcare corporation,worldwide healthcare,0
unilever group,universal music group,0
emirates airlines,the emirates group,0
ericsson nikola tesla,tesla,0
mitsubishi elevators,omega elevators,0
nissan motor (gb) limited,nissan chemical corp,0
nokia solutions and networks us llc,nokia corp,0
pioneer,payoneer,0
"epic games, inc.",epic mushroom ltd,0
porsche,porch group,0
edison energia spa,e.on energia spa,0
dunkin' donuts,mister donut,0
nhn corp,ntt data corp,0
amazon studios llc,bbc studios limited,0
sap se,sapient limited,0
cloudflare,cloudera,0
sky lab infotech,skytech,0
alpha corp,alphabet inc,0
sony corporation,sony financial group inc,0
starbucks corp,tata coffee,0
tennant co,tenet healthcare corp,0
atl careers,at&t careers,0
axa,axio,0
e.sun financial,suning finance,0
adecco group,adeka corp,0
supreme engineering ltd,the supreme industries ltd,0
allied cooperative insurance group,bajaj allianz life insurance,0